Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
GOL Linhas Aereas,Analista de BI I,Sao Paulo - SP,16/08/2023,Efetivo,Presencial
B4A,Analista de Business Intelligence (BI),Sao Paulo - SP,16/08/2023,Efetivo,Presencial
iBlue Consulting,[SS] ANALISTA BI PLENO (SAS GUIDE) - REMOTO - SP #84380,Osasco - SP,16/08/2023,Efetivo,Remoto
Framework Digital,Analista de BI,Belo Horiz... - MG,16/08/2023,Efetivo,Remoto
Framework Digital,Analista de BI,Belo Horiz... - MG,16/08/2023,Efetivo,Remoto
Akm Performma,Pessoa Analista de BI,Sao Paulo - SP,15/08/2023,Pessoa Juridica,Presencial
Minsait an Indra Company,Pessoa Analista Funcional de BI (Data Transletor),Nao informado,15/08/2023,Efetivo,Remoto
Minsait an Indra Company,Pessoa Analista de BI,Nao informado,15/08/2023,Efetivo,Remoto
Unidades V4 Company,Analista de BI | V4 BJ Santos & CO,Curitiba - PR,15/08/2023,Pessoa Juridica,Presencial
Jotacom,Consultor(a) de Business Intelligence (BI),Sao Paulo - SP,14/08/2023,Pessoa Juridica,Presencial
Vagas Confidencias - Marketing Digital e Tecnologia,Analista de BI Jr,Nao informado,14/08/2023,Efetivo,Remoto
- D'Or Consultoria,"Analista de Operacao | Faturamento - Programacao Power BI - VBA | (Saude, Odonto e Vida) | Vila Olimpia - SP",Sao Paulo - SP,14/08/2023,Efetivo,Presencial
Modal - Estrategia em Captacao 360,Analista de Dados BI,Barueri - SP,14/08/2023,Efetivo,Presencial
VENHA SER #SANGUELARANJA ,Analista Funcional BI Senior,Sao Paulo - SP,14/08/2023,Efetivo,Remoto
Just a Little Data,Analista Inteligencia de Negocios para CRM  - BI/BA - Pleno - Freelancer,Sao Paulo - SP,11/08/2023,Freelancer,Presencial
Ontex Brasil,ANALISTA DE  BI COMERCIAL SR,Sao Paulo - SP,11/08/2023,Efetivo,Presencial
Vertigo Tecnologia,Analista de BI Senior,Rio de Jan... - RJ,11/08/2023,Efetivo,Presencial
iBlue Consulting,[SS] ANALISTA BI PLENO - REMOTO - SAO PAULO/SP #62751,Osasco - SP,10/08/2023,Efetivo,Remoto
Atento TI,Consultor de RH (foco em BI)  (Home Office),Nao informado,10/08/2023,Efetivo,Remoto
BEE4,Analista de BI Junior,Sao Paulo - SP,09/08/2023,Efetivo,Presencial
iBlue Consulting,[SS] ANALISTA BI ETL (SAS GUIDE) SENIOR - HIBRIDA (2X na semana presencial) - OSASCO/SP #58262,Osasco - SP,09/08/2023,Efetivo,Presencial
WPP Media Services,Estagiario(a) de BI,Sao Paulo - SP,09/08/2023,Estagio,Remoto
Iteris,Data Engineer (Power BI),Sao Paulo - SP,08/08/2023,Efetivo,Remoto
Bellinati Perez,Analista de BI,Curitiba - PR,08/08/2023,Efetivo,Presencial
Bridge & Co.,Analista de Dados Pleno/Senior (BI),Rio de Jan... - RJ,08/08/2023,Efetivo,Presencial
Carreiras Dufry,Estagiario de BI,Rio de Jan... - RJ,08/08/2023,Banco de Talentos,Presencial
V.tal | o futuro passa por aqui,Especialista de Planejamento e BI | IInfra Telecom,Sao Paulo - SP,07/08/2023,Efetivo,Presencial
MAGNA SISTEMAS,5242333 | Analista de BI PL,Taboao da ... - SP,04/08/2023,Efetivo,Presencial
Radix Engenharia e Software,Profissional Analista de Dados Power BI Senior,Nao informado,04/08/2023,Efetivo,Remoto
Westwing,Estagio em Planejamento e BI,Sao Paulo - SP,04/08/2023,Estagio,Presencial
Stefanini Group,Analista de BI,Sao Paulo - SP,03/08/2023,Efetivo,Remoto
Portobello Shop,Pessoa Especialista de BI,Florianopolis - SC,03/08/2023,Efetivo,Presencial
Arezzo&CO,Analista de BI Pleno | International Business - Ingles Avancado,Campo Bom  - RS,03/08/2023,Efetivo,Presencial
S2 Holding SA,Coordenador de BI,Rio de Jan... - RJ,02/08/2023,Efetivo,Presencial
VerumPartners,Consultor (a) Especialista em BI (Gestao empresarial),Sao Paulo - SP,02/08/2023,Pessoa Juridica,Remoto
Blue3 Investimentos,Analista de BI Sr.,Ribeirao P... - SP,02/08/2023,Efetivo,Presencial
SharePrime,Analista de Power BI - PL/SR - Presencial SC,Florianopolis - SC,02/08/2023,Pessoa Juridica,Presencial
EloGroup,Processo Seletivo 2023.2 - Estagio em Engenharia de Dados & BI,Nao informado,01/08/2023,Estagio,Remoto
Dock,Data BI & Analytics Senior,Nao informado,01/08/2023,Efetivo,Remoto
200DEV,Analista de BI Senior,Nao informado,01/08/2023,Efetivo,Remoto
Lanlink Informatica,Analista de BI e DBA,Natal - RN,28/07/2023,Efetivo,Presencial
TIS | Telefonica Infraestrutura e Seguranca,Analista de Qualidade de TI - Power BI,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
Carreiras Tech - Syngenta Digital,Analista de BI - Vaga Afirmativa Para Pessoa com Deficiencia,Belo Horiz... - MG,28/07/2023,Efetivo,Remoto
