Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
White Martins,Estagiario(a) de Analise de Dados - Diadema/SP,Diadema - SP,17/08/2023,Estagio,Presencial
Grupo Salta Educacao,Analista de Dados - Contas a Receber,Rio de Jan... - RJ,17/08/2023,Efetivo,Presencial
NAVA | Technology for Business,Pessoa Engenheira de Dados,Sao Paulo - SP,17/08/2023,Efetivo,Presencial
"LBCA - Lee, Brock, Camargo Advogados",Analista de Dados Juridicos,Sao Paulo - SP,17/08/2023,Efetivo,Remoto
BP - A Beneficencia Portuguesa de Sao Paulo,Pessoa Analista de Dados Pleno,Sao Paulo - SP,17/08/2023,Efetivo,Presencial
LEAN SALES,Assistente De Dados,Itajai - SC,16/08/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ESPECIALISTA DE GOVERNANCA DE DADOS,Sao Paulo - SP,16/08/2023,Efetivo,Presencial
Daniel Advogados,Cientista de Dados,Rio de Jan... - RJ,16/08/2023,Efetivo,Presencial
NAVA | Technology for Business,ANALISTA  DLP e PROTECAO DE DADOS SR,Osasco - SP,16/08/2023,Efetivo,Presencial
NAVA | Technology for Business,ANALISTA  DLP e PROTECAO DE DADOS SR,Osasco - SP,16/08/2023,Efetivo,Presencial
NAVA | Technology for Business,"ANALISTA DE PROTECAO DE DADOS SR - DISCOVERY, PROTECAO E CRIPTOGRAFIA",Osasco - SP,16/08/2023,Efetivo,Presencial
iK Ecossistema da Inovacao,Analista de dados,Rio de Jan... - RJ,16/08/2023,Efetivo,Presencial
Neoway,Pessoa Analista de Dados Junior,Nao informado,16/08/2023,Efetivo,Remoto
Oi,Tecnico (a/e) Processamento de Dados,Brasilia - DF,16/08/2023,Efetivo,Remoto
Instituto de Pesquisas ELDORADO,Analista de Dados Dogfooding,Manaus - AM,16/08/2023,Efetivo,Presencial
Stefanini Group,Administrador de Dados - AD,Sao Paulo - SP,16/08/2023,Efetivo,Remoto
@novarotadooeste,ANALISTA DE DADOS PL,Cuiaba - MT,16/08/2023,Efetivo,Presencial
GAVB,Pessoa Engenheira de dados II - Vaga afirmativa para mulheres (Cis e Trans),Nao informado,16/08/2023,Efetivo,Remoto
Logcomex,Engenheiro de Dados Pleno,Curitiba - PR,15/08/2023,Efetivo,Remoto
Logcomex,Engenheiro de Dados JR,Curitiba - PR,15/08/2023,Efetivo,Presencial
Libbs Farmaceutica,Analista de Engenharia de Dados Pleno,Sao Paulo - SP,15/08/2023,Efetivo,Remoto
Andrade Maia Advogados,Analista de Dados Junior,Porto Alegre - RS,15/08/2023,Efetivo,Presencial
Cencosud Brasil,Cientista de Dados (Cencosud) - Sao Paulo/SP ,Sao Paulo - SP,15/08/2023,Efetivo,Presencial
Carreiras Alumia,Estagio em Dados,Sao Paulo - SP,15/08/2023,Estagio,Presencial
YDUQS,PESSOA ANALISTA COMERCIAL PLENA (FOCO EM DADOS),Sao Paulo - SP,15/08/2023,Efetivo,Presencial
Quality Digital,5278774 - CIENTISTA DE DADOS SENIOR,Barueri - SP,15/08/2023,Temporario,Remoto
Trinus Co.,Analista de Inteligencia de Dados - Gestao Imobiliaria,Goiania - GO,15/08/2023,Efetivo,Presencial
Kangu,Analista de Dados PL - Presencial,Osasco - SP,15/08/2023,Efetivo,Presencial
BP - A Beneficencia Portuguesa de Sao Paulo,Pessoa Analista  Dados Sr - Proadi TeleNordeste,Sao Paulo - SP,15/08/2023,Efetivo,Presencial
Performa IT,Analista de dados,Campinas - SP,14/08/2023,Efetivo,Remoto
Vagas Inmetrics,ANALISTA DE INTELIGENCIA DE DADOS PL (HIBRIDO),Sao Paulo - SP,14/08/2023,Efetivo,Presencial
